original_name,formatted_address,latitude,longitude,display_name,class,type,city_district
임회면,전라남도 임회면,34.4042971,126.207112,"임회면, 진도군, 전라남도, 58942, 대한민국",boundary,administrative,전라남도
지산면,전라남도 지산면,34.44664,126.15744,"지산면, 진도군, 전라남도, 58950, 대한민국",boundary,administrative,전라남도
조도면,전라남도 조도면,34.30912,126.00724,"조도면, 진도군, 전라남도, 58956, 대한민국",boundary,administrative,전라남도
지도읍,전라남도 신안군 지도읍,35.06688,126.20482,"지도읍, 신안군, 전라남도, 58813, 대한민국",boundary,administrative,전라남도 신안군
압해읍,전라남도 신안군 압해읍,34.87468,126.3068411,"압해읍, 신안군, 전라남도, 대한민국",boundary,administrative,전라남도 신안군
증도면,전라남도 신안군 증도면,34.98553,126.1539,"증도면, 신안군, 전라남도, 58807, 대한민국",boundary,administrative,전라남도 신안군
임자면,전라남도 신안군 임자면,35.09211,126.0897,"임자면, 신안군, 전라남도, 58802, 대한민국",boundary,administrative,전라남도 신안군
자은면,전라남도 신안군 자은면,34.88865,126.04855,"자은면, 신안군, 전라남도, 대한민국",boundary,administrative,전라남도 신안군
비금면,전라남도 신안군 비금면,34.76407,125.94815,"비금면, 신안군, 전라남도, 대한민국",boundary,administrative,전라남도 신안군
도초면,전라남도 신안군 도초면,34.68761,125.94956,"도초면, 신안군, 전라남도, 58851, 대한민국",boundary,administrative,전라남도 신안군
흑산면,전라남도 신안군 흑산면,34.69409,125.42259,"흑산면, 신안군, 전라남도, 58863, 대한민국",boundary,administrative,전라남도 신안군
하의면,전라남도 신안군 하의면,34.6069081,126.0343039,"하의면, 신안군, 전라남도, 58856, 대한민국",boundary,administrative,전라남도 신안군
신의면,전라남도 신안군 신의면,34.57706,126.09095,"신의면, 신안군, 전라남도, 58857, 대한민국",boundary,administrative,전라남도 신안군
장산면,전라남도 신안군 장산면,34.63848,126.16317,"장산면, 신안군, 전라남도, 58860, 대한민국",boundary,administrative,전라남도 신안군
안좌면,전라남도 신안군 안좌면,34.7307252,126.1315797,"안좌면, 신안군, 전라남도, 58839, 대한민국",boundary,administrative,전라남도 신안군
팔금면,전라남도 신안군 팔금면,34.78248,126.13929,"팔금면, 신안군, 전라남도, 58838, 대한민국",boundary,administrative,전라남도 신안군
암태면,전라남도 신안군 암태면,34.84543,126.11177,"암태면, 신안군, 전라남도, 58836, 대한민국",boundary,administrative,전라남도 신안군
상도동,서울특별시 동작구 상도동,37.4988159,126.9441045,"상도동, 상도4동, 동작구, 서울특별시, 07047, 대한민국",place,quarter,서울특별시 동작구
대도동,경상북도 포항시 대도동,36.0167,129.36265,"대도동, 상대동, 남구, 포항시, 경상북도, 37826, 대한민국",place,quarter,경상북도 포항시
해도동,경상북도 포항시 해도동,36.02056,129.37484,"해도동, 남구, 포항시, 경상북도, 대한민국",boundary,administrative,경상북도 포항시
송도동,송도동 송도동,37.38585945,126.614738891491,"송도동, 대한민국",boundary,legal,송도동
청림동,경상북도 포항시 청림동,36.00265,129.41235,"청림동, 남구, 포항시, 경상북도, 대한민국",boundary,administrative,경상북도 포항시
일월동,경상북도 포항시 일월동,35.98986,129.42581,"일월동, 청림동, 남구, 포항시, 경상북도, 37926, 대한민국",place,quarter,경상북도 포항시
송정동,서울특별시 성동구 송정동,37.55374825,127.06848349493912,"송정동, 성동구, 서울특별시, 대한민국",boundary,administrative,서울특별시 성동구
송내동,경기도 부천시 송내동,37.4829235,126.7630049,"송내동, 소사구, 부천시, 경기도, 14728, 대한민국",place,quarter,경기도 부천시
괴동동,경상북도 포항시 괴동동,35.99788,129.37315,"괴동동, 제철동, 남구, 포항시, 경상북도, 37832, 대한민국",place,quarter,경상북도 포항시
동촌동,대구광역시 동구 동촌동,35.8897019,128.6526248,"동촌동, 동구, 대구광역시, 41143, 대한민국",boundary,administrative,대구광역시 동구
장흥동,경상북도 포항시 장흥동,35.98134,129.37512,"장흥동, 제철동, 남구, 포항시, 경상북도, 37867, 대한민국",place,quarter,경상북도 포항시
인덕동,경상북도 포항시 인덕동,35.98701,129.39973,"인덕동, 제철동, 남구, 포항시, 경상북도, 37879, 대한민국",place,quarter,경상북도 포항시
호동,대전광역시 중구 호동,36.3020126,127.4441298,"호동, 석교동, 중구, 대전광역시, 35036, 대한민국",place,quarter,대전광역시 중구
효자동,경기도 고양시 효자동,37.661127,126.95699054964274,"효자동, 덕양구, 고양시, 경기도, 대한민국",boundary,administrative,경기도 고양시
지곡동,경기도 용인시 지곡동,37.2446558,127.1354847,"지곡동, 기흥구, 용인시, 경기도, 17088, 대한민국",place,quarter,경기도 용인시
대잠동,경상북도 포항시 대잠동,36.01734,129.33908,"대잠동, 대이동, 남구, 포항시, 경상북도, 37684, 대한민국",place,quarter,경상북도 포항시
이동,경기도 안산시 이동,37.3102303,126.8546722,"이동, 상록구, 안산시, 경기도, 15508, 대한민국",place,quarter,경기도 안산시
구룡포읍,경상북도 포항시 구룡포읍,35.98434,129.53674,"구룡포읍, 남구, 포항시, 경상북도, 대한민국",boundary,administrative,경상북도 포항시
연일읍,경상북도 포항시 연일읍,35.99816,129.32687,"연일읍, 남구, 포항시, 경상북도, 대한민국",boundary,administrative,경상북도 포항시
오천읍,경상북도 포항시 오천읍,35.93673,129.40736,"오천읍, 남구, 포항시, 경상북도, 대한민국",boundary,administrative,경상북도 포항시
대송면,경상북도 포항시 대송면,35.9681745,129.3627856,"대송면, 남구, 포항시, 경상북도, 대한민국",boundary,administrative,경상북도 포항시
동해면,경상북도 포항시 동해면,35.99295,129.48454,"동해면, 남구, 포항시, 경상북도, 대한민국",boundary,administrative,경상북도 포항시
장기면,경상북도 포항시 장기면,35.90656,129.4929,"장기면, 남구, 포항시, 경상북도, 대한민국",boundary,administrative,경상북도 포항시
호미곶면,경상북도 포항시 호미곶면,36.05571,129.55336,"호미곶면, 남구, 포항시, 경상북도, 37928, 대한민국",boundary,administrative,경상북도 포항시
대흥동,대전광역시 중구 대흥동,36.3227747,127.4254193,"대흥동, 중구, 대전광역시, 대한민국",boundary,administrative,대전광역시 중구
신흥동,중구 신흥동,37.46593,126.63732,"신흥동, 중구, 인천, 대한민국",boundary,administrative,중구
남빈동,경상북도 포항시 남빈동,36.03642,129.36532,"남빈동, 중앙동, 북구, 포항시, 경상북도, 37737, 대한민국",place,quarter,경상북도 포항시
상원동,경상북도 포항시 상원동,36.0387,129.36575,"상원동, 중앙동, 북구, 포항시, 경상북도, 37735, 대한민국",place,quarter,경상북도 포항시
여천동,울산광역시 남구 여천동,35.5234259,129.3544862,"여천동, 야음장생포동, 남구, 울산광역시, 44762, 대한민국",place,quarter,울산광역시 남구
중앙동,경상북도 포항시 중앙동,36.03859,129.36439,"중앙동, 북구, 포항시, 경상북도, 대한민국",boundary,administrative,경상북도 포항시
덕산동,대구광역시 중구 덕산동,35.866037,128.593312,"덕산동, 성내2동, 중구, 대구광역시, 41936, 대한민국",place,quarter,대구광역시 중구
덕수동,경상북도 포항시 덕수동,36.04492,129.36322,"덕수동, 중앙동, 북구, 포항시, 경상북도, 37703, 대한민국",place,quarter,경상북도 포항시
대신동,대구광역시 중구 대신동,35.8669269,128.5793045,"대신동, 중구, 대구광역시, 대한민국",boundary,administrative,대구광역시 중구
동빈1가,경상북도 포항시 동빈1가,36.04569,129.37019,"동빈1가, 중앙동, 북구, 포항시, 경상북도, 37727, 대한민국",place,quarter,경상북도 포항시
동빈2가,경상북도 포항시 동빈2가,36.04091,129.36929,"동빈2가, 중앙동, 북구, 포항시, 경상북도, 37728, 대한민국",place,quarter,경상북도 포항시
학산동,경상북도 포항시 학산동,36.05408,129.36944,"학산동, 중앙동, 북구, 포항시, 경상북도, 37717, 대한민국",place,quarter,경상북도 포항시
항구동,경상북도 포항시 항구동,36.0543947,129.3785651,"항구동, 중앙동, 북구, 포항시, 경상북도, 37716, 대한민국",place,quarter,경상북도 포항시
득량동,경상북도 포항시 득량동,36.03232,129.34251,"득량동, 양학동, 북구, 포항시, 경상북도, 37693, 대한민국",place,quarter,경상북도 포항시
학잠동,경상북도 포항시 학잠동,36.03069,129.34712,"학잠동, 양학동, 북구, 포항시, 경상북도, 37697, 대한민국",place,quarter,경상북도 포항시
죽도동,경상북도 포항시 죽도동,36.0261,129.35916,"죽도동, 북구, 포항시, 경상북도, 대한민국",boundary,administrative,경상북도 포항시
용흥동,경상북도 포항시 용흥동,36.03962,129.34918,"용흥동, 북구, 포항시, 경상북도, 대한민국",boundary,administrative,경상북도 포항시
우현동,경상북도 포항시 우현동,36.05889,129.35545,"우현동, 우창동, 북구, 포항시, 경상북도, 37635, 대한민국",place,quarter,경상북도 포항시
창포동,경상북도 포항시 창포동,36.06946,129.36628,"창포동, 우창동, 북구, 포항시, 경상북도, 37627, 대한민국",place,quarter,경상북도 포항시
두호동,경상북도 포항시 두호동,36.05907955,129.38449869914876,"두호동, 북구, 포항시, 경상북도, 대한민국",boundary,administrative,경상북도 포항시
장성동,충청북도 청주시 장성동,36.5946736,127.4794862,"장성동, 서원구, 청주시, 충청북도, 28701, 대한민국",place,quarter,충청북도 청주시
양덕동,경상북도 포항시 양덕동,36.0867807,129.3987415,"양덕동, 장량동, 북구, 포항시, 경상북도, 37590, 대한민국",place,quarter,경상북도 포항시
환호동,경상북도 포항시 환호동,36.0697,129.39787,"환호동, 환여동, 북구, 포항시, 경상북도, 37601, 대한민국",place,quarter,경상북도 포항시
여남동,경상북도 포항시 여남동,36.07625,129.41128,"여남동, 환여동, 북구, 포항시, 경상북도, 37598, 대한민국",place,quarter,경상북도 포항시
